sku,status
5035865,ACTIVE
HAAA0835,ACTIVE
6003871,ACTIVE
5012545,ACTIVE
5051905,ACTIVE
9783822,ACTIVE
7012091,RESERVE
2722022,RESERVE
1001-1891,RESERVE
1109-0882,RESERVE
295,RESERVE
PLSC0108,RESERVE
9784281,RESERVE
1602-2755,RESERVE
