group_id,parent_group_id,group_number,name,name_ua
892,,155057032,Контрольно-вимірювальні прилади,Контрольно-вимірювальні прилади
895,,155057035,Електроінструмент,Електроінструмент
908,892,155057118,Лазерні нівеліри,Лазерні нівеліри
911,892,155057119,Мультиметри,Мультиметри
930,892,155057122,Фазометри,Фазометри
935,892,155057123,Штангециркулі,Штангециркулі
950,894,155057133,Ручні обтискні інструменти,Ручні обтискні інструменти
951,894,155057134,Знімачі ізоляції,Знімачі ізоляції
1001,898,155057168,Трубні ключі,Трубні ключі
1021,899,155057187,Малярні пензлі,Малярні пензлі
1050,905,155057207,Окуляри захисні,Окуляри захисні
1051,905,155057208,Робочі рукавички,Робочі рукавички
1052,905,155057209,Респіратори,Респіратори
10098,898,155057328,"Маркери, крейда для маркування","Маркери, крейда для маркування"
12115,839,155057077,Електрика,Електрика
12118,12115,155057335,LED освітлення (світлодіодні стрічки),LED освітлення (світлодіодні стрічки)
